edge_mode	model	subset	metric	mean	stddev
edge	GRASP	top20_malignant	ttpeak_err_sec	4.839663191093215	6.386352307162289
edge	GRASP	top20_benign	curve_corr	0.9972729826837528	0.0023603582031740383
edge	GRASP	top20_benign	curve_mae	6.403740286827087	4.359474005781797
edge	GRASP	top20_benign	early_corr	0.9861661607290015	0.016121038175865028
edge	GRASP	top20_benign	early_mae	6.601202940940857	4.980621443563027
edge	GRASP	top20_benign	ttae_sec	1.2876650660264093	1.6818124886677186
edge	GRASP	top20_benign	wash_in_slope_err	0.1482962190140827	0.1254856301818003
edge	GRASP	top20_benign	iauc10_err	33.82417501702024	28.584816896436067
edge	GRASP	top20_benign	peak_err	13.834315156936645	9.419114865960008
edge	GRASP	top20_benign	ttpeak_err_sec	4.258133253301321	6.385968781784796
edge	GRASP	top10_malignant	curve_corr	0.9993649078648449	0.00029992473710712227
edge	GRASP	top10_malignant	curve_mae	11.521277030309042	6.56062372969604
edge	GRASP	top10_malignant	early_corr	0.9984686295257462	0.0012440537821777023
edge	GRASP	top10_malignant	early_mae	12.120085255304973	7.151679051272228
edge	GRASP	top10_malignant	ttae_sec	0.7310812846307274	0.8648463279993588
edge	GRASP	top10_malignant	wash_in_slope_err	0.21187798549001352	0.11774037252384902
edge	GRASP	top10_malignant	iauc10_err	72.35645240126675	41.966701814506116
edge	GRASP	top10_malignant	peak_err	19.972620550791422	11.08714701704972
edge	GRASP	top10_malignant	ttpeak_err_sec	3.6625377163387713	5.343620992530784
edge	GRASP	top10_benign	curve_corr	0.9974329819281896	0.0026431079230347224
edge	GRASP	top10_benign	curve_mae	6.721166563034058	4.799169038357898
edge	GRASP	top10_benign	early_corr	0.9874124600655503	0.017542023202296537
edge	GRASP	top10_benign	early_mae	6.694613599777222	5.443752287898011
edge	GRASP	top10_benign	ttae_sec	1.25595238095238	1.7280026065704968
edge	GRASP	top10_benign	wash_in_slope_err	0.12565796533349266	0.0947112511056443
edge	GRASP	top10_benign	iauc10_err	34.29727194990427	29.570736271348693
edge	GRASP	top10_benign	peak_err	14.510288572311401	10.498782532196428
edge	GRASP	top10_benign	ttpeak_err_sec	1.6785714285714293	2.363327624413818
